symbol,name,full_name,name_and_type
Symbol,company name,Company Name,Security Name
AAIT,ishares msci all country asia information technology index fund,iShares MSCI All Country Asia Information Technology Index Fund,iShares MSCI All Country Asia Information Technology Index Fund
AAL,american airlines group,"American Airlines Group, Inc.","American Airlines Group, Inc. - Common Stock"
AAME,atlantic american,Atlantic American Corporation,Atlantic American Corporation - Common Stock
AAOI,applied optoelectronics,"Applied Optoelectronics, Inc.","Applied Optoelectronics, Inc. - Common Stock"
AAON,aaon,"AAON, Inc.","AAON, Inc. - Common Stock"
AAPL,apple,Apple Inc.,Apple Inc. - Common Stock
AAVL,avalanche biotechnologies,"Avalanche Biotechnologies, Inc.","Avalanche Biotechnologies, Inc. - Common Stock"
AAWW,atlas air worldwide holdings,Atlas Air Worldwide Holdings,Atlas Air Worldwide Holdings - Common Stock
AAXJ,ishares msci all country asia ex japan index fund,iShares MSCI All Country Asia ex Japan Index Fund,iShares MSCI All Country Asia ex Japan Index Fund
ABAC,aoxin tianli group,"Aoxin Tianli Group, Inc.","Aoxin Tianli Group, Inc. - Common Shares"
ABAX,abaxis,"ABAXIS, Inc.","ABAXIS, Inc. - Common Stock"
ABCB,ameris bancorp,Ameris Bancorp,Ameris Bancorp - Common Stock
ABCD,cambium learning group,"Cambium Learning Group, Inc.","Cambium Learning Group, Inc. - Common Stock"
ABCO,the advisory board,The Advisory Board Company,The Advisory Board Company - Common Stock
ABCW,anchor bancorp wisconsin,Anchor BanCorp Wisconsin Inc.,Anchor BanCorp Wisconsin Inc. - Common Stock
ABDC,alcentra capital,Alcentra Capital Corp.,Alcentra Capital Corp. - Common Stock
ABGB,abengoa,"Abengoa, S.A.","Abengoa, S.A. - American Depositary Shares"
ABIO,arca biopharma,"ARCA biopharma, Inc.","ARCA biopharma, Inc. - Common Stock"
ABMD,abiomed,"ABIOMED, Inc.","ABIOMED, Inc. - Common Stock"
ABTL,autobytel,Autobytel Inc.,Autobytel Inc. - Common Stock
ABY,abengoa yield,Abengoa Yield plc,Abengoa Yield plc - Ordinary Shares
ACAD,acadia pharmaceuticals,ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals Inc. - Common Stock
ACAS,american capital,"American Capital, Ltd.","American Capital, Ltd. - Common Stock"
ACAT,arctic cat,Arctic Cat Inc.,Arctic Cat Inc. - Common Stock
ACET,aceto,Aceto Corporation,Aceto Corporation - Common Stock
ACFC,atlantic coast financial,Atlantic Coast Financial Corporation,Atlantic Coast Financial Corporation - Common Stock
ACFN,acorn energy,"Acorn Energy, Inc.","Acorn Energy, Inc. - Common Stock"
ACGL,arch capital group,Arch Capital Group Ltd.,Arch Capital Group Ltd. - Common Stock
ACHC,acadia healthcare company,"Acadia Healthcare Company, Inc.","Acadia Healthcare Company, Inc. - Common Stock"
ACHN,achillion pharmaceuticals,"Achillion Pharmaceuticals, Inc.","Achillion Pharmaceuticals, Inc. - Common Stock"
ACIW,aci worldwide,"ACI Worldwide, Inc.","ACI Worldwide, Inc. - Common Stock"
ACLS,axcelis technologies,"Axcelis Technologies, Inc.","Axcelis Technologies, Inc. - Common Stock"
ACNB,acnb,ACNB Corporation,ACNB Corporation - Common Stock
ACOR,acorda therapeutics,"Acorda Therapeutics, Inc.","Acorda Therapeutics, Inc. - Common Stock"
ACPW,active power,"Active Power, Inc.","Active Power, Inc. - Common Stock"
ACRX,acelrx pharmaceuticals,"AcelRx Pharmaceuticals, Inc.","AcelRx Pharmaceuticals, Inc. - Common Stock"
ACSF,american capital senior floating,"American Capital Senior Floating, Ltd.","American Capital Senior Floating, Ltd. - Common Stock"
ACST,acasti pharma,"Acasti Pharma, Inc.","Acasti Pharma, Inc. - Class A Common Stock"
ACTA,actua,Actua Corporation,Actua Corporation - Common Stock
