,Username,Datetime,Text,Symbol,Sentiment
9,Microsoft,2021-05-17 21:03:00+00:00, joins meeting no camera no mic just chat ,MSFT,-2
10,Microsoft,2021-05-17 20:00:07+00:00,believe her is an app that provides a safe space for black mothers and their loved ones to connect with a peer support network learn more about the work this nonprofit is doing ,MSFT,6
11,Microsoft,2021-05-17 18:03:00+00:00,read all about it ,MSFT,0
12,Microsoft,2021-05-17 18:03:00+00:00,microsoft sustainable packaging goals single use plastic packaging elimination by certified sustainability forested fiber by recyclable packaging by recycled renewable or responsibly sourced content by ,MSFT,0
13,Microsoft,2021-05-17 17:15:00+00:00,attention all teachers navigating hybrid learning can be tricky so we created free trainings on teaching with technology in any environment boost your technical skills with these resources ,MSFT,2
38,Microsoft,2021-05-14 21:15:00+00:00,a more inclusive and accessible reading experience is now available in powerpoint for the web onedrive sharepoint and makecode learn more about the immersive reader ,MSFT,0
39,Microsoft,2021-05-14 19:03:00+00:00,its ctrl ccccccc and then ctrl v,MSFT,0
40,Microsoft,2021-05-14 18:00:01+00:00,gamers with disabilities are making new connections across the world thanks to the right tools learn how the xbox adaptive controller is making it possible ,MSFT,2
42,Microsoft,2021-05-14 16:03:00+00:00,tip block off the first hour of your day to catch up on email and lay on the floor with your dog ,MSFT,-1
53,Microsoft,2021-05-13 22:03:01+00:00,daystrike camo refuse to blend in ,MSFT,-2
54,Microsoft,2021-05-13 21:00:01+00:00,when technology is made with accessibility in mind everyone benefits check out how live transcription with speaker attribution in microsoft teams can make meetings better for all ,MSFT,4
67,Microsoft,2021-05-13 19:03:00+00:00,if youve rescheduled a meeting more than three times is it time to take the conversation to a microsoft teams chat ,MSFT,0
68,Microsoft,2021-05-13 18:00:00+00:00,when responding to medical emergencies every second counts thats why londons air ambulance uses microsoft powerapps to make sure its trauma teams have all the gear they need ,MSFT,-3
69,Microsoft,2021-05-13 16:23:00+00:00, unmutes mic waits seconds to say something types in the chat instead mutes mic ,MSFT,0
83,Microsoft,2021-05-12 22:03:02+00:00,register now for,MSFT,0
84,Microsoft,2021-05-12 22:03:02+00:00,microsoft build free all digital can bring your own snacks ,MSFT,1
85,Microsoft,2021-05-12 21:00:00+00:00,its a challenging job market but career coach in microsoft teams for education is here to help the students of today become the workforce of tomorrow learn how ,MSFT,2
86,Microsoft,2021-05-12 19:03:12+00:00,a little paperclip heat for your phones ,MSFT,0
101,Microsoft,2021-05-12 18:00:00+00:00,geography shouldnt limit possibility thats why xbox created game camps to increase diversity and equity in the next generation of game developers ,MSFT,1
102,Microsoft,2021-05-12 16:03:00+00:00,how many times have you played lost the game of minesweeper ,MSFT,-3
114,Microsoft,2021-05-11 20:03:00+00:00, opens microsoft teams sets status message if my indicator is red it means im either busy or busy ,MSFT,0
125,Microsoft,2021-05-11 18:00:05+00:00,community doctors in taiwan are taking telehealth to the next level with mixed reality technology discover how hololens helps medical professionals collaborate remotely and treat more patients ,MSFT,2
126,Microsoft,2021-05-11 16:03:00+00:00,heres the research that proves why ,MSFT,0
127,Microsoft,2021-05-11 16:03:00+00:00,normalize breaks between meetings ,MSFT,0
146,Microsoft,2021-05-10 22:00:00+00:00,approvals check we heard your feedback and new updates to approvals on microsoft teams are here to get you faster results ,MSFT,0
155,Microsoft,2021-05-10 19:03:00+00:00,show us your best microsoft paint creation and we may make it our cover photo ,MSFT,3
156,Microsoft,2021-05-10 18:11:00+00:00,in france of people with autism are unemployed actimage is working to change that discover how the company is using mixed reality to train people with autism for job interviews ,MSFT,0
158,Microsoft,2021-05-10 16:13:00+00:00,is anyone available to monitor the chat ,MSFT,0
159,Microsoft,2021-05-07 22:30:00+00:00,when the pandemic shuttered schools many families did not have the tools to switch their kids to remote learning check out how one nonprofit is bridging the digital divide ,MSFT,0
160,Microsoft,2021-05-07 20:03:01+00:00,electric volt ,MSFT,0
161,Microsoft,2021-05-07 19:00:01+00:00,get your travel fix virtually take flight over paris amsterdam and more in the latest world update for microsoft flight simulator ,MSFT,0
162,Microsoft,2021-05-07 16:33:40+00:00, joins meeting turns camera on unmutes mic you know what type of day youre having ,MSFT,0
163,Microsoft,2021-05-06 22:30:00+00:00,more than two thirds of employees want flexible working to stay dive into the research and what the future holds for hybrid work ,MSFT,1
164,Microsoft,2021-05-06 20:30:00+00:00,whether youre new to the scene or an experienced app developer will have what youre searching for learn skills specific to what you do at this free all digital event follow msdev for updates and register today ,MSFT,1
165,Microsoft,2021-05-06 18:11:01+00:00, s solitaire is calling do you answer ,MSFT,0
166,Microsoft,2021-05-06 16:00:01+00:00,kat rowlands faced big hurdles when she took over a small newsroom limping along with very old technology three years ago she partnered with microsoft news using microsoft and power bi to transform the way bay city news covers the region ,MSFT,1
167,Microsoft,2021-05-06 14:38:58+00:00,this past year businesses were forced to evolve digitally in order to remain resilient theeiu conducted new research digging into the impact of tech across industries during the pandemic and share their findings here ,MSFT,0
168,Microsoft,2021-05-05 22:30:00+00:00,a word to the wise modern comments are here to help you write work and collaborate better ,MSFT,4
169,Microsoft,2021-05-05 20:03:00+00:00,word ,MSFT,0
170,Microsoft,2021-05-05 19:00:04+00:00,access to experts anytime from anywhere the hololens is making it possible for medlab to find new ways of addressing some of the biggest health challenges ,MSFT,0
171,Microsoft,2021-05-05 17:43:01+00:00,some retro flair for your phones ,MSFT,0
172,Microsoft,2021-05-05 16:00:25+00:00,flatten the curve and get to zero cases globally that is the goal of progress to zero bdatascientists passion for data is helping the world understand and address the pandemics spread with microsoft ai for good learn more ,MSFT,7
173,Microsoft,2021-05-04 21:03:00+00:00, is it okay if we move this to tomorrow the answer is yes ,MSFT,1
174,Microsoft,2021-05-04 19:34:00+00:00,sabrina ionescu doesnt just shoot hoops she shoots for the stars discover how she powered her dreams and is inspiring other young girls to do the same with a custom xbox ,MSFT,3
175,Microsoft,2021-05-04 18:03:00+00:00,normalize providing agendas with meeting invites ,MSFT,0
176,Microsoft,2021-05-04 17:00:02+00:00, fastcompanys world changing ideas is focused on social good seeking to elevate finished products and brave concepts that make the world better were honored to be included on this list ,MSFT,11
177,Microsoft,2021-05-04 16:00:01+00:00,remember being called on in class and feeling nervous about reading out loud in front of everyone educators are using a new tool called reading progress to make it a little easier for students in remote and hybrid learning learn more ,MSFT,1
178,Microsoft,2021-05-04 15:00:02+00:00,throughout history and in this particularly challenging year the asian community including the microsoft aapi employee community has united to activate allyship amp lift voices when we learn from lived experiences we can build a better world together ,MSFT,3
179,Microsoft,2021-05-03 20:03:01+00:00,how it started how its going,MSFT,0
189,Microsoft,2021-05-03 18:30:00+00:00,from updating your budget in excel to traveling on the go with the office app new updates to microsoft are here to help you succeed ,MSFT,2
190,Microsoft,2021-05-03 16:03:00+00:00,have you ever joined a microsoft teams meeting that doesnt actually start until tomorrow ,MSFT,0
191,Microsoft,2021-04-30 22:45:00+00:00,now optics has a vision for the future of eye care and its virtual discover how the company is relying on the cloud to deliver care to those in need regardless of location ,MSFT,5
201,Microsoft,2021-04-30 21:03:00+00:00,to the person who runs the xbox account thank you for your tweets today ,MSFT,2
202,Microsoft,2021-04-30 19:15:00+00:00,fewer wires and a more crystal clear sound the xbox wireless headset is here ,MSFT,1
203,Microsoft,2021-04-30 17:03:02+00:00,microsoft word and excel inch disks circa ,MSFT,0
204,Microsoft,2021-04-30 16:00:01+00:00,whats next in tech and the future of hybrid work find out at a free all digital event on may register now ,MSFT,1
205,Microsoft,2021-04-30 15:15:01+00:00,catch ceo satyanadella and time at pm et today for register here ,MSFT,0
225,Microsoft,2021-04-29 22:00:01+00:00,safety first check out how the latest features on microsoft teams help you collaborate securely ,MSFT,3
243,Microsoft,2021-04-29 20:03:00+00:00,do you have more than emails in your inbox or do you have zero ,MSFT,0
244,Microsoft,2021-04-29 18:15:00+00:00,chocolate chip oatmeal raisin or web heres how to choose your cookies wisely ,MSFT,0
245,Microsoft,2021-04-29 16:03:00+00:00,its okay if you show up a few minutes late to a meeting refer to this tweet if someone says otherwise ,MSFT,0
271,Microsoft,2021-04-28 22:03:04+00:00,what would make these logos even more rad you upload one as your next background ,MSFT,0
272,Microsoft,2021-04-28 21:00:04+00:00,today more than billion people worldwide dont have access to simple surgical operations discover how microsoft technology is connecting underserved communities through shared surgery ,MSFT,-1
293,Microsoft,2021-04-28 19:03:00+00:00,normalize unmuting your mic to laugh at someones joke ,MSFT,3
299,Microsoft,2021-04-28 17:45:00+00:00,datacom turned to microsoft teams to keep new zealands essential services running faster than ever during the pandemic heres how they achieved two years worth of migration in a week ,MSFT,2
308,Microsoft,2021-04-28 16:03:00+00:00,its and you deserve a compliment leave a comment below and maybe youll get one ,MSFT,-1
309,Microsoft,2021-04-28 15:00:12+00:00,dont worry while calibri wont be the default itll always be available ,MSFT,1
310,Microsoft,2021-04-28 15:00:09+00:00,weve commissioned five original custom fonts to eventually replace calibri as the default help us decide ,MSFT,2
311,Microsoft,2021-04-28 15:00:05+00:00,we need to talk what should our next default font be ,MSFT,0
319,Microsoft,2021-04-27 23:13:01+00:00,everyone wants to know who manages this account now you have a chance apply ,MSFT,2
320,Microsoft,2021-04-27 22:45:00+00:00,conservation planners are maximizing and ecological protection with marxan the analytic engine behind major conservation projects discover how ,MSFT,0
321,Microsoft,2021-04-27 21:03:02+00:00, adventure typing tutor and olympic decathlon ,MSFT,2
322,Microsoft,2021-04-27 20:58:25+00:00, business highlights more personal computing windows oem revenue windows commercial products and cloud services revenue xbox content and services revenue search advertising revenue surface revenue ,MSFT,0
323,Microsoft,2021-04-27 20:58:25+00:00, business highlights intelligent cloud server products and cloud services revenue azure revenue growth ,MSFT,4
324,Microsoft,2021-04-27 20:58:24+00:00, business highlights productivity amp business processes office commercial revenue office consumer revenue linkedin revenue dynamics products and cloud services revenue ,MSFT,0
325,Microsoft,2021-04-27 20:58:24+00:00,q fy revenue by segment productivity amp business processes billion intelligent cloud billion more personal computing billion ,MSFT,2
326,Microsoft,2021-04-27 20:58:24+00:00,commercial cloud revenue billion ,MSFT,0
327,Microsoft,2021-04-27 20:58:23+00:00,thread msft q earnings just announced microsoft q earnings revenue billion operating income billion net income billion gaap billion non gaap eps gaap non gaap,MSFT,0
328,Microsoft,2021-04-27 20:58:23+00:00,read the full microsofts q earnings release here note about forward looking statements in earnings tweets ,MSFT,0
347,Microsoft,2021-04-27 17:45:00+00:00,we could all use a little more balance between life and work discover how in microsoft lets you take control of your time ,MSFT,0
348,Microsoft,2021-04-27 16:02:53+00:00, is it okay if we reschedule the answer is always yes ,MSFT,1
357,Microsoft,2021-04-26 21:00:00+00:00,is your digital keychain getting heavy check out these tips to combat password fatigue ,MSFT,-3
364,Microsoft,2021-04-26 19:03:00+00:00,reminder build your schedule around meals ,MSFT,0
365,Microsoft,2021-04-26 18:00:02+00:00,when technology is inclusive everyone benefits discover how new microsoft teams features like live captions and dynamic view can help everyone be more productive ,MSFT,6
366,Microsoft,2021-04-26 16:03:01+00:00,to do today upload this as your microsoft teams background pic and impress all of your friends ,MSFT,3
367,Microsoft,2021-04-24 00:00:00+00:00,watercare delivers around million liters of water to million people every day discover how the company is digitally transforming with the cloud ,MSFT,0
388,Microsoft,2021-04-23 21:00:00+00:00,the number of women in technical roles at microsoft increased from to according to our global diversity amp inclusion report however our efforts will continue learn more ,MSFT,1
411,Microsoft,2021-04-23 19:03:00+00:00, unmutes mic waits seconds to say something to self should i say something decides not to say anything mutes mic ,MSFT,0
412,Microsoft,2021-04-23 18:11:00+00:00, infographic inspired experiences intuitive interactive search results faster startup times heres what better browsing looks like with microsoft edge and bing ,MSFT,6
413,Microsoft,2021-04-23 16:03:00+00:00,please share pictures of your pets in our replies ,MSFT,2
418,Microsoft,2021-04-22 23:30:00+00:00,researchers are finding the information they need more easily with microsoft biomedical search discover what this means for future medical advances ,MSFT,0
419,Microsoft,2021-04-22 22:00:00+00:00, collaborate and create with microsoft whiteboard get real time feedback with polls transform your presenting experience with powerpoint live get started with these collaboration tools in microsoft teams ,MSFT,0
427,Microsoft,2021-04-22 20:03:10+00:00,tired per my last email wired per my last email attached for reference ,MSFT,-2
436,Microsoft,2021-04-22 19:00:01+00:00,during an nba game there are millions of data points that can be analyzed by ai amp machine learning tools providing crucial data for teams amp coaches now with nba courtoptix powered by microsoft azure fans will be able to access these insights too ,MSFT,0
437,Microsoft,2021-04-22 18:08:00+00:00,reduce background noise in teams meetings ,MSFT,0
438,Microsoft,2021-04-22 18:03:00+00:00,you i think ill unmute my mic for this microsoft teams meeting the road construction outside your window not today ,MSFT,-2
439,Microsoft,2021-04-22 16:23:01+00:00,yes this is real microsoft paint art all the credit on earth to artist gazedsoul ,MSFT,1
448,Microsoft,2021-04-20 19:00:42+00:00,automatically shorten the meetings you schedule ,MSFT,0
449,Microsoft,2021-04-20 19:00:01+00:00, i love back to back meetings said literally no one ever ,MSFT,2
450,Microsoft,2021-04-20 18:00:01+00:00, xbox is bringing the joy of gaming to even more people in their preferred language check out how ,MSFT,3
451,Microsoft,2021-04-20 16:31:10+00:00,were testing the sustainability and reliability of underwater datacenters get an up close look at how it all works in this degree video ,MSFT,0
452,Microsoft,2021-04-20 16:31:00+00:00,were at the forefront of cloud innovation continually seeking to improve the security reliability and sustainability of our datacenters ,MSFT,3
453,Microsoft,2021-04-20 16:30:51+00:00,were powering our datacenters with people in mind making sure our operations happen in a secure reliable and sustainable manner ,MSFT,2
454,Microsoft,2021-04-20 16:30:43+00:00,data travels from servers to the network room which is linked to our global network of datacenters ,MSFT,0
455,Microsoft,2021-04-20 16:30:34+00:00,the server room is the heart of the microsoft clouds massive computing and storage capacity ,MSFT,0
456,Microsoft,2021-04-20 16:30:24+00:00,step into the lobby the frontlines of physical datacenter security ,MSFT,-2
457,Microsoft,2021-04-20 16:30:15+00:00,from remote work to online shopping we depend on cloud computing take a step inside our virtual datacenter to learn how the microsoft cloud works ,MSFT,0
458,Microsoft,2021-04-20 16:30:00+00:00,for the first time ever take a d tour through a microsoft datacenter ,MSFT,0
459,Microsoft,2021-04-20 15:07:56+00:00,normalize breaks between meetings heres the research that proves why ,MSFT,0
461,Microsoft,2021-04-19 23:23:00+00:00, when women speak their truth it generates power learn more about believe her a new app that is part of a growing movement in advocacy and technology by black women ,MSFT,1
463,Microsoft,2021-04-19 22:11:11+00:00,food safety delivered discover how is helping build confidence in cloud kitchens ,MSFT,5
470,Microsoft,2021-04-19 20:03:01+00:00,heres a solar system being created in paint d ,MSFT,0
477,Microsoft,2021-04-19 16:03:00+00:00,how are you feeling youve hardly touched that powerpoint deck you started working on days ago ,MSFT,1
478,Microsoft,2021-04-15 23:15:00+00:00,your powerpoint presentations are about to be on point thanks to the presenter coach feature learn how it uses to help your presentation skills ,MSFT,4
493,Microsoft,2021-04-15 21:33:00+00:00,us whats that noise you its the sound of you ferociously typing ,MSFT,0
495,Microsoft,2021-04-15 20:30:00+00:00,the xbox family is better than ever with bethesda check out the iconic games now playable with xbox game pass ,MSFT,2
496,Microsoft,2021-04-15 19:03:10+00:00,which emoji are you today ,MSFT,0
528,Microsoft,2021-04-15 16:13:00+00:00,hello ,MSFT,0
529,Microsoft,2021-04-14 23:00:00+00:00,teachers consider social emotional learning an even higher priority than ever before heres how for education can support your digital classroom ,MSFT,2
541,Microsoft,2021-04-14 21:33:00+00:00,reminder block off at least one hour of your time tomorrow just for yourself ,MSFT,-1
542,Microsoft,2021-04-14 20:30:00+00:00,hospitals screening centers and clinics in multiple countries are increasingly turning to fast and accurate technology to better treat patients learn more about ai aided chest x ray exams ,MSFT,2
543,Microsoft,2021-04-14 19:45:00+00:00, ,MSFT,0
554,Microsoft,2021-04-14 19:03:01+00:00,how it started how its going,MSFT,0
555,Microsoft,2021-04-14 17:45:00+00:00,when the pandemic caused new zealand to enter a full country lockdown genesis energy sought innovative solutions to keep its power station maintenance program on schedule check out how made it possible ,MSFT,3
556,Microsoft,2021-04-14 16:23:00+00:00,any aries im not mad im just wondering why you took so long to join the meeting you im actually two minutes early ,MSFT,4
557,Microsoft,2021-04-13 22:30:00+00:00,research suggests that the future of work is hybrid heres how to prepare and foster a dynamic work world ,MSFT,0
558,Microsoft,2021-04-13 19:04:26+00:00,inable is revolutionizing how blind and low vision students take exams learn more about the microsoft ai for accessibility grant recipient ,MSFT,1
559,Microsoft,2021-04-13 16:45:00+00:00, one of the things that i feel the most proud of as a company is when you go drop yourself anywhere on the planet there will be a microsoft partner ecosystem more from ceo satyanadella on how were working with organizations in crn ,MSFT,1
560,Microsoft,2021-04-12 12:36:23+00:00,were excited to accelerate our industry cloud strategy for healthcare with the acquisition of nuance combining solutions and expertise to deliver new cloud and ai capabilities across healthcare and other industries ,MSFT,4
561,Microsoft,2021-04-10 16:03:17+00:00,the mashup you never knew you needed ,MSFT,0
567,Microsoft,2021-04-09 22:00:01+00:00,linkedin career expert catherine fisher explains that the focus on skills over qualifications opens the doors for both employers and job seekers more from gma on how were partnering with linkedin to build a more inclusive economy ,MSFT,0
568,Microsoft,2021-04-09 19:03:00+00:00,microsofts most recent logo unveiled in august ,MSFT,0
580,Microsoft,2021-04-09 16:03:01+00:00,if someone asks you where microsoft started the most accurate response is somewhere between a harvard dorm room and the american southwest the original office building in albuquerque new mexico is pictured here ,MSFT,0
592,Microsoft,2021-04-08 23:03:01+00:00,just found this old photo of my cousin from the s those eyebrows though perfection ,MSFT,0
593,Microsoft,2021-04-08 22:15:00+00:00,miss catching up with your coworkers in the office caf a recent study in the uk found that of remote workers agree dive into the full report ,MSFT,-1
594,Microsoft,2021-04-08 21:03:00+00:00,to xbox mcdonalds cc spotify subject checking in how are you all doing today lets catch up talk soon person who runs the microsoft account,MSFT,0
607,Microsoft,2021-04-08 20:15:00+00:00,ronak sutaria is determined to use data to change indias air quality for the better heres how ,MSFT,4
608,Microsoft,2021-04-08 19:03:00+00:00,in microsoft released a new design that would serve as the company logo for the next years ,MSFT,0
609,Microsoft,2021-04-08 17:45:00+00:00,good intentions alone dont make real progress to create meaningful change we must educate ourselves on bias covering and allyship start exploring ,MSFT,2
610,Microsoft,2021-04-08 16:03:40+00:00,these business cards are from microsofts first office leased in theyre also funky ,MSFT,2
621,Microsoft,2021-04-07 23:00:00+00:00,from plastic waste to a global pandemic these four women are channeling the power of to tackle some of societys toughest problems check out how ,MSFT,-3
622,Microsoft,2021-04-07 21:03:00+00:00,normalize pausing for questions and allowing silence in meetings ,MSFT,0
623,Microsoft,2021-04-07 20:30:00+00:00,were introducing new features that make it easier to collaborate in a work from anywhere world heres whats ahead ,MSFT,0
631,Microsoft,2021-04-07 19:03:20+00:00,the blibbet microsoft unveiled a new logo in ,MSFT,0
632,Microsoft,2021-04-07 17:45:00+00:00,were partnering with accenture to speed up the uks mission to achieve net zero carbon emissions by heres to a brighter more future ,MSFT,0
633,Microsoft,2021-04-07 16:03:13+00:00,a page from the earliest known code for basic for the altair copyright ,MSFT,0
647,Microsoft,2021-04-06 23:00:00+00:00,real progress doesnt happen without real work get started on your diversity amp inclusion journey ,MSFT,2
667,Microsoft,2021-04-06 21:03:00+00:00,did you actually know how to play minesweeper or did you just click around until the game ended ,MSFT,0
668,Microsoft,2021-04-06 20:30:07+00:00, liquid cooling enables us to go denser and thus continue the moores law trend at the datacenter level see how microsoft is using boiling liquid to cool computer servers in a datacenter ,MSFT,1
669,Microsoft,2021-04-06 18:15:00+00:00,muted and unmuted again a wfh tale ,MSFT,0
670,Microsoft,2021-04-06 17:15:01+00:00,basic for the altair k and k was microsofts first shipping product and its first format was paper tape pictured below is an actual copy of the original software ,MSFT,0
671,Microsoft,2021-04-06 16:34:22+00:00,heavy metal a short lived microsoft logo from ,MSFT,0
